2012PN200117,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-07-25 11:24,WATER,VERTICAL INTEGRATED,6.09,,28.6,,0.07,,0.51,,44.1,,0.012,,0.001,,18.5,,0.006,,0.107,,0.012,,0.08,,0.058,,1.31,,0.012,,116,,0.066,,0.065,,4.73,,1.75,,0.654,,1.35,,0.005,L,0.001,,0.687,,0.14,,0.001,,165,,0.006,,0.01,,,,0.006,,0.289,,0.347,,0.143,,0.4,,856,,0.085,,1.19,,66.1,,0.08,,0.018,,17.3,,0.042,,2.98,,0.222,,1.33,,1,,3,,0.296,,2160,,1.34,,1.42,,5.61,,83.2,,0.475,,3.29,,0.035,L,0.001,,2.6,,0.13,,0.014,,182,,0.028,,0.017,,,,0.007,,0.368,,2.47,,1.38,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200118,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-07-25 11:30,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,25,,0.075,,0.48,,46.8,,0.016,,0.001,,14.7,,0.01,,0.089,,0.008,,0.08,,0.039,,1.77,,0.012,,80.6,,0.054,,0.058,,4.1,,1.09,,0.616,,1.13,,0.004,L,0.001,,0.649,,0.16,,0.001,,174,,0.006,,0.007,,,,0.005,,0.316,,0.314,,0.127,,0.4,,901,,0.091,,1.18,,73.4,,0.089,,0.021,,14.6,,0.055,,3.35,,0.232,,1.4,,1.08,,3.63,,0.324,,2200,,1.5,,1.6,,5.46,,86.8,,0.553,,3.56,,0.034,,0.001,,2.77,,0.15,,0.018,,189,,0.033,,0.018,,,,0.009,,0.425,,2.53,,1.58,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200119,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2012-08-06 10:11,WATER,VERTICAL INTEGRATED,4.39,,14.3,,0.122,,0.57,,62.3,,0.013,,0.001,,15.7,,0.009,,0.113,,0.004,,0.08,,0.045,,2.04,,0.012,,80.2,,0.066,,0.056,,5.47,,0.97,,0.88,,1.82,,0.003,L,0.001,,0.835,,0.17,,0.002,,183,,0.008,L,0.005,,,,0.003,,0.484,,0.368,,0.18,,0.4,,1280,,0.145,,1.99,,116,,0.153,,0.035,,17.7,,0.085,,6.63,,0.349,,2.07,,1.93,,5.59,,0.524,,3480,,2.92,,3.04,,7.16,,152,,0.668,,6.1,,0.04,,0.001,,4.18,,0.17,,0.027,,202,,0.056,,0.016,,,,0.006,,0.666,,4.06,,3.02,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200120,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 2 OF 10,AL07DD0009,57.2151,-111.61433,2012-08-06 10:37,WATER,VERTICAL INTEGRATED,3.71,,11.2,,0.128,,0.59,,65.1,,0.012,,0.001,,14.2,,0.009,,0.106,,0.005,,0.06,,0.04,,1.98,,0.012,,56,,0.066,,0.054,,4.95,,0.78,,0.906,,1.71,,0.003,L,0.001,,0.856,,0.2,,0.002,,171,,0.008,,0.005,,,,0.005,,0.505,,0.344,,0.17,,0.3,,1240,,0.142,,2.06,,120,,0.168,,0.024,,13.8,,0.098,,7.09,,0.296,,1.99,,2.04,,5.82,,0.508,,3470,,3.12,,3.24,,6.54,,159,,0.561,,6.17,,0.032,,0.001,,3.96,,0.19,,0.026,,206,,0.054,,0.009,,,,0.004,,0.713,,4.16,,3.27,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200121,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 3 OF 10,AL07DD0009,57.21512,-111.61345,2012-08-06 10:48,WATER,VERTICAL INTEGRATED,3.62,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,NR,,,,NR,,NR,,NR,,NR,,NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200122,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 4 OF 10,AL07DD0009,57.21516,-111.61577,2012-08-06 11:03,WATER,VERTICAL INTEGRATED,3.11,,13.7,,0.114,,0.63,,58.6,,0.012,L,0.001,,15.6,,0.008,,0.101,,0.01,,0.07,,0.039,,2.32,,0.012,,68.8,,0.058,,0.053,,4.54,,0.89,,0.84,,1.79,,0.004,L,0.001,,0.768,,0.19,,0.002,,183,,0.007,,0.01,,,,0.003,,0.465,,0.375,,0.152,,0.3,,1410,,0.15,,1.98,,116,,0.157,,0.038,,13.6,,0.084,,7.08,,0.405,,2.3,,2,,5.75,,0.575,,3770,,3.14,,3.16,,6.79,,151,,0.712,,6.31,,0.053,,0.001,,4.64,,0.17,,0.032,,197,,0.062,,0.02,,,,0.006,,0.694,,4.39,,3.16,,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200123,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 5 OF 10,AL07DD0009,57.21505,-111.6115,2012-08-06 11:16,WATER,VERTICAL INTEGRATED,3.2,,15.9,,0.121,,0.58,,60.1,,0.011,,0.001,,14.8,,0.007,,0.101,,0.011,,0.08,,0.045,,1.97,,0.013,,65.9,,0.067,,0.05,,4.68,,1.03,,0.846,,1.71,,0.003,L,0.001,,0.795,,0.19,,0.002,,177,,0.007,L,0.005,,,,0.004,,0.467,,0.371,,0.162,,1.3,,1290,,0.143,,2.08,,118,,0.167,,0.026,,16.7,,0.093,,7.09,,0.319,,2.07,,2.01,,5.88,,0.532,,3670,,3.15,,3.15,,6.57,,158,,0.541,,6.28,,0.041,,0.001,,4.1,,0.19,,0.027,,202,,0.055,,0.006,,,,0.004,,0.684,,4.2,,3.22,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200124,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 6 OF 10,AL07DD0009,57.21502,-111.61068,2012-08-06 11:50,WATER,VERTICAL INTEGRATED,2.59,,16.4,,0.12,,0.6,,58.4,,0.012,,0.001,,15.2,,0.008,,0.107,,0.005,,0.07,,0.038,,1.9,,0.011,,71.6,,0.064,,0.053,,4.78,,0.88,,0.823,,1.67,,0.003,L,0.001,,0.796,,0.19,,0.002,,172,,0.008,,0.008,,,,0.002,,0.456,,0.374,,0.164,,0.3,,1360,,0.144,,1.98,,115,,0.155,,0.038,,15.4,,0.09,,7.02,,0.379,,2.19,,2.04,,5.69,,0.561,,3900,,3.11,,3.13,,6.77,,155,,0.667,,6.29,,0.049,,0.001,,4.44,,0.2,,0.031,,196,,0.058,,0.02,,,,0.005,,0.675,,4.4,,3.14,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200125,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 7 OF 10,AL07DD0009,57.2152,-111.6098,2012-08-06 12:00,WATER,VERTICAL INTEGRATED,2.59,,14.3,,0.112,,0.65,,56.2,,0.012,,0.001,,16.5,,0.005,,0.103,,0.004,,0.07,,0.044,,2.09,,0.011,,80.4,,0.06,,0.056,,4.69,,0.95,,0.786,,1.75,,0.003,L,0.001,,0.765,,0.21,,0.002,,175,,0.007,,0.005,,,,0.003,,0.426,,0.349,,0.158,,0.5,,1280,,0.135,,1.93,,110,,0.152,,0.025,,16.8,,0.088,,6.64,,0.299,,2.05,,1.87,,5.95,,0.514,,3590,,2.95,,2.98,,6.64,,149,,0.5,,6.03,,0.045,,0.001,,3.92,,0.18,,0.027,,192,,0.053,,0.006,,,,0.004,,0.649,,4.07,,2.98,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200126,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 8 OF 10,AL07DD0009,57.2153,-111.60903,2012-08-06 12:09,WATER,VERTICAL INTEGRATED,3.26,,16.9,,0.109,,0.54,,57.7,,0.011,L,0.001,,15.9,,0.007,,0.113,,0.006,,0.08,,0.041,,1.8,,0.011,,74.3,,0.068,,0.057,,4.94,,0.88,,0.857,,1.61,,0.003,L,0.001,,0.808,,0.19,,0.002,,162,,0.009,,0.006,,,,0.003,,0.438,,0.378,,0.172,,0.3,,1310,,0.141,,1.98,,113,,0.154,,0.035,,15,,0.088,,7.09,,0.387,,2.17,,1.95,,5.59,,0.552,,3830,,3.13,,3.08,,6.87,,154,,0.646,,6.17,,0.046,L,0.001,,4.45,,0.18,,0.027,,191,,0.056,,0.018,,,,0.007,,0.65,,4.21,,3.15,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200127,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 9 OF 10,AL07DD0009,57.21523,-111.60808,2012-08-06 12:19,WATER,VERTICAL INTEGRATED,3.73,,15,,0.12,,0.6,,58.1,,0.013,,0.001,,16.2,,0.006,,0.115,,0.008,,0.07,,0.043,,1.9,,0.011,,86.3,,0.068,,0.06,,5.09,,1.03,,0.8,,1.69,,0.003,L,0.001,,0.833,,0.17,,0.001,,171,,0.009,,0.005,,,,0.004,,0.432,,0.346,,0.171,,0.4,,1270,,0.135,,1.93,,105,,0.133,,0.036,,18.3,,0.077,,6.35,,0.371,,2.07,,1.83,,5.42,,0.505,,3740,,2.82,,2.82,,6.71,,148,,0.674,,5.88,,0.046,L,0.001,,4.24,,0.2,,0.029,,195,,0.054,,0.019,,,,0.004,,0.618,,4.05,,2.81,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200128,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 10 OF 10,AL07DD0009,57.21518,-111.60727,2012-08-06 12:40,WATER,VERTICAL INTEGRATED,3.11,,9.3,,0.13,,0.57,,62.2,,0.014,,0.001,,16.3,,0.008,,0.132,,0.005,,0.06,,0.039,,1.86,,0.012,,80.4,,0.073,,0.066,,5.38,,0.92,,1.17,,1.54,,0.004,L,0.001,,0.886,,0.2,,0.002,,156,,0.009,,0.008,,,,0.003,,0.457,,0.332,,0.188,,0.3,,1340,,0.139,,1.95,,108,,0.148,,0.036,,19.2,,0.085,,6.75,,0.374,,2.19,,1.95,,5.51,,0.546,,3840,,2.98,,2.97,,7.03,,151,,0.641,,6.1,,0.052,,0.001,,4.38,,0.2,,0.027,,191,,0.057,,0.021,,,,0.003,,0.633,,4.22,,2.97,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200129,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2012-08-06 13:30,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,12.9,,0.116,,0.58,,58.6,,0.011,,0.001,,16.3,,0.009,,0.108,,0.005,,0.06,,0.04,,1.91,,0.011,,66.2,,0.067,,0.056,,4.78,,0.76,,0.821,,1.67,,0.002,L,0.001,,0.797,,0.21,,0.001,,167,,0.007,,0.005,,,,0.005,,0.456,,0.332,,0.158,,0.3,,1450,,0.143,,2.05,,116,,0.154,,0.039,,16.4,,0.089,,6.96,,0.425,,2.37,,2.01,,5.87,,0.569,,4070,,3.07,,3.05,,6.94,,157,,0.721,,6.47,,0.061,,0.001,,4.81,,0.22,,0.031,,204,,0.061,,0.027,,,,0.006,,0.674,,4.47,,3.07,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200130,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2012-08-07 10:22,WATER,VERTICAL INTEGRATED,4.08,,13.7,,0.12,,0.59,,63.6,,0.014,,0.001,,18.2,,0.012,,0.176,,0.004,,0.07,,0.057,,2.04,,0.01,,95.2,,0.118,,0.073,,5.52,,3.72,,0.856,,1.87,,0.004,L,0.001,,0.841,,0.18,,0.001,,185,,0.008,L,0.005,,,,0.004,,0.465,,0.351,,0.228,,2.1,,1270,,0.159,,2.08,,112,,0.15,,0.035,,18.3,,0.083,,6.64,,0.37,,2.08,,1.9,,5.87,,0.519,,3720,,2.92,,2.97,,7.44,,149,,0.735,,6.28,,0.047,,0.001,,4.25,,0.18,,0.028,,204,,0.054,,0.015,,,,0.004,,0.678,,4.08,,2.94,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200131,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 2 OF 10,AL07DD0007,57.31337,-111.67458,2012-08-07 10:40,WATER,VERTICAL INTEGRATED,3.44,,14.7,,0.13,,0.6,,64,,0.019,,0.001,,16.8,,0.009,,0.153,,0.005,,0.07,,0.047,,2.14,,0.011,,77.2,,0.09,,0.059,,5.04,,1.84,,1.06,,1.8,,0.004,L,0.001,,0.825,,0.21,,0.002,,186,,0.008,L,0.005,,,,0.003,,0.486,,0.356,,0.199,,0.4,,1160,,0.154,,2.1,,117,,0.161,,0.027,,15.8,,0.089,,7.17,,0.3,,1.87,,1.95,,5.9,,0.504,,3330,,3.17,,3.21,,6.71,,155,,0.591,,6.11,,0.032,,0.001,,3.89,,0.2,,0.026,,202,,0.052,,0.007,,,,0.004,,0.713,,3.95,,3.21,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200132,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 3 OF 10,AL07DD0007,57.31335,-111.6735,2012-08-07 10:51,WATER,VERTICAL INTEGRATED,2.94,,19.9,,0.128,,0.5,,70.1,,0.014,,0.001,,15.5,,0.021,,0.262,,0.005,,0.07,,0.096,,2.14,,0.009,,91.2,,0.14,,0.073,,4.84,RANGEH,21.1,,0.824,,2.09,,0.003,L,0.001,,0.852,,0.2,,0.001,,192,,0.008,,0.005,,,,0.003,,0.402,,0.301,,0.296,,0.9,,1190,,0.151,,2.13,,118,,0.165,,0.026,,16.3,,0.088,,7.18,,0.295,,1.88,,1.98,,5.79,,0.497,,3230,,3.18,,3.2,,6.73,,155,,0.585,,6.09,,0.031,,0.001,,3.91,,0.16,,0.025,,201,,0.055,,0.008,,,,0.004,,0.705,,4.01,,3.2,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200133,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2012-08-07 11:06,WATER,VERTICAL INTEGRATED,2.57,,14.9,,0.123,,0.58,,61.3,,0.013,,0.001,,14.7,,0.009,,0.145,,0.011,,0.08,,0.041,,2.06,,0.01,,72.3,,0.087,,0.059,,4.88,,1.67,,0.89,,1.86,,0.004,L,0.001,,0.804,,0.19,,0.002,,180,,0.007,L,0.005,,,,0.004,,0.478,,0.349,,0.197,,0.7,,1380,,0.151,,2.15,,117,,0.159,,0.036,,14.9,,0.097,,7.27,,0.38,,2.27,,2.09,,6.22,,0.564,,3930,,3.25,,3.24,,6.89,,160,,0.696,,6.49,,0.048,,0.001,,4.43,,0.18,,0.028,,204,,0.059,,0.014,,,,0.005,,0.696,,4.49,,3.21,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200134,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2012-08-07 11:17,WATER,VERTICAL INTEGRATED,2.81,,16.9,,0.12,,0.56,,62.8,,0.013,,0.001,,15.8,,0.016,,0.162,,0.008,,0.08,,0.048,,2.02,,0.01,,75.5,,0.091,,0.063,,4.81,,2.66,,0.866,,1.8,,0.004,L,0.001,,0.806,,0.17,,0.002,,183,,0.007,L,0.005,,,,0.003,,0.467,,0.355,,0.213,,0.4,,1300,,0.162,,2.09,,118,,0.162,,0.038,,13.3,,0.1,,7.13,,0.387,,2.15,,1.98,,5.76,,0.555,,3460,,3.15,,3.16,,6.88,,150,,1.33,,6.21,,0.047,,0.002,,4.49,,0.18,,0.031,,198,,0.056,,0.018,,,,0.005,,0.696,,4.27,,3.16,,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200135,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 6 OF 10,AL07DD0007,57.31373,-111.67093,2012-08-07 11:37,WATER,VERTICAL INTEGRATED,3.22,,17.4,,0.122,,0.63,,64.6,,0.012,,0.001,,16,,0.01,,0.159,,0.005,,0.08,,0.042,,2.16,,0.012,,69.3,,0.095,,0.07,,5.03,,1.6,,0.877,,1.86,,0.005,L,0.001,,0.846,,0.2,,0.002,,192,,0.009,,0.007,,,,0.003,,0.475,,0.379,,0.214,,0.4,,1300,,0.157,,2.06,,114,,0.154,,0.034,,15.6,,0.089,,6.95,,0.379,,2.16,,1.96,,5.93,,0.547,,3650,,3.1,,3.1,,6.79,,154,,0.683,,6.23,,0.048,L,0.001,,4.39,,0.18,,0.03,,198,,0.056,,0.02,,,,0.006,,0.678,,4.29,,3.09,,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200136,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 7 OF 10,AL07DD0007,57.3138,-111.66997,2012-08-07 12:22,WATER,VERTICAL INTEGRATED,3.4,,9.3,,0.113,,0.59,,58.2,,0.014,,0.001,,17.5,,0.011,,0.134,,0.005,,0.07,,0.042,,1.9,,0.008,,79.5,,0.084,,0.055,,4.82,,1.66,,0.778,,1.66,,0.002,L,0.001,,0.787,,0.2,,0.001,,175,,0.008,,0.008,,,,0.003,,0.424,,0.317,,0.187,,0.5,,1690,,0.153,,1.98,,113,,0.15,,0.037,,17.7,,0.081,,6.8,,0.395,,2.66,,1.98,,5.89,,0.633,,4270,,2.99,,2.96,,7.24,,147,,0.623,,6.49,,0.087,,0.001,,4.78,,0.18,,0.03,,195,,0.059,,0.022,,,,0.004,,0.646,,4.75,,2.93,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200137,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 8 OF 10,AL07DD0007,57.31392,-111.66925,2012-08-07 12:31,WATER,VERTICAL INTEGRATED,3.16,,16.5,,0.117,,0.6,,59.3,,0.013,,0.001,,17.3,,0.008,,0.145,,0.011,,0.08,,0.046,,1.88,,0.01,,90.7,,0.083,,0.061,,5.05,,1.92,,0.815,,1.67,,0.005,L,0.001,,0.82,,0.14,,0.002,,174,,0.008,,0.022,,,,0.005,,0.44,,0.365,,0.195,,0.4,,1260,,0.142,,2.01,,107,,0.143,,0.035,,16.4,,0.082,,6.52,,0.357,,2.11,,1.87,,5.55,,0.509,,3720,,2.89,,2.9,,6.66,,148,,0.668,,5.94,,0.046,L,0.001,,4.16,,0.19,,0.029,,193,,0.052,,0.029,,,,0.005,,0.624,,4.14,,2.84,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200138,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 9 OF 10,AL07DD0007,57.3139,-111.66835,2012-08-07 12:46,WATER,VERTICAL INTEGRATED,2.72,,14.2,,0.116,,0.61,,59.3,,0.014,,0.001,,17.9,,0.01,,0.151,,0.004,,0.08,,0.044,,2.05,,0.01,,91.3,,0.088,,0.063,,5.02,,1.75,,0.805,,1.69,,0.003,L,0.001,,0.83,,0.17,,0.002,,172,,0.009,,0.01,,,,0.003,,0.432,,0.361,,0.197,,0.5,,1240,,0.146,,1.96,,110,,0.139,,0.035,,16.4,,0.079,,6.74,,0.371,,2.06,,1.84,,5.66,,0.514,,3610,,2.97,,2.87,,6.8,,146,,0.693,,5.87,,0.05,L,0.001,,4.25,,0.17,,0.029,,188,,0.055,,0.026,,,,0.004,,0.63,,4.01,,2.91,,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200139,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2012-08-07 12:58,WATER,VERTICAL INTEGRATED,2.76,,15.5,,0.114,,0.6,,61.1,,0.015,,0.001,,17.1,,0.009,,0.154,,0.005,,0.08,,0.044,,1.97,,0.012,,93.6,,0.088,,0.071,,5.19,,1.48,,0.814,,1.81,,0.004,L,0.001,,0.853,,0.19,,0.002,,177,,0.01,,0.009,,,,0.004,,0.441,,0.382,,0.205,,0.5,,1240,,0.142,,1.93,,104,,0.136,,0.038,,18.1,,0.075,,6.42,,0.379,,2.06,,1.8,,5.37,,0.503,,3560,,2.87,,2.75,,6.73,,143,,0.708,,5.8,,0.055,,0.001,,4.27,,0.18,,0.029,,189,,0.053,,0.026,,,,0.006,,0.615,,4.02,,2.77,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200140,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2012-08-07 13:05,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,13.9,,0.118,,0.56,,61.9,,0.013,,0.001,,17,,0.012,,0.143,,0.008,,0.09,,0.043,,2.23,,0.01,,76.3,,0.087,,0.07,,5.01,,1.43,,0.837,,1.75,,0.002,L,0.001,,0.835,,0.18,,0.002,,178,,0.007,L,0.005,,,,0.002,,0.454,,0.354,,0.199,,0.7,,1210,,0.154,,1.86,,107,,0.146,,0.036,,15.8,,0.076,,6.25,,0.372,,1.99,,1.77,,5.28,,0.504,,3340,,2.77,,2.82,,6.76,,135,,0.715,,5.69,,0.05,,0.001,,4.19,,0.17,,0.026,,186,,0.053,,0.021,,,,0.007,,0.639,,3.92,,2.75,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200141,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2012-08-08 10:02,WATER,VERTICAL INTEGRATED,0.62,,11.2,,0.118,,0.62,,63.6,,0.011,L,0.001,,14.2,,0.014,,0.082,,0.01,,0.06,,0.049,,1.9,,0.009,,51.8,,0.048,,0.04,,4.65,,0.86,,0.866,,1.8,L,0.001,L,0.001,,0.761,,0.21,,0.002,,194,,0.007,,0.006,,,,0.002,,0.528,,0.423,,0.15,,0.4,,1720,,0.154,,2.22,,124,,0.168,,0.038,,16.4,,0.103,,7,,0.458,,2.77,,2.13,,6.19,,0.67,,4500,,3.14,,3.16,,7.56,,151,,0.741,,6.9,,0.05,,0.001,,5.18,,0.23,,0.034,,222,,0.072,,0.025,,,,0.005,,0.756,,5.25,,3.13,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200142,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2012-08-08 10:22,WATER,VERTICAL INTEGRATED,2.11,,11,,0.112,,0.61,,61.4,,0.01,L,0.001,,13.6,,0.013,,0.081,,0.004,,0.05,,0.045,,1.83,,0.011,,50.1,,0.046,,0.04,,4.56,,0.61,,0.842,,1.74,L,0.001,L,0.001,,0.745,,0.22,,0.001,,187,,0.007,L,0.005,,,,0.002,,0.507,,0.355,,0.145,,0.4,,1570,,0.15,,2.23,,122,,0.159,,0.029,,15.3,,0.093,,6.54,,0.394,,2.54,,2.08,,6.1,,0.607,,4130,,2.99,,3.05,,7.18,,143,,0.597,,6.76,,0.036,L,0.001,,4.57,,0.25,,0.032,,223,,0.063,,0.009,,,,0.003,,0.752,,4.79,,3.08,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200143,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2012-08-08 10:34,WATER,VERTICAL INTEGRATED,2.94,,11.5,,0.112,,0.62,,64.1,,0.009,,0.001,,12.2,,0.009,,0.084,,0.006,,0.06,,0.039,,1.94,,0.011,,50.7,,0.054,,0.041,,4.58,,0.64,,0.866,,1.76,L,0.001,L,0.001,,0.738,,0.21,,0.002,,191,,0.006,,0.005,,,,0.002,,0.518,,0.362,,0.151,,0.4,,1560,,0.146,,2.17,,122,,0.163,,0.027,,12.5,,0.096,,6.47,,0.377,,2.5,,2.07,,5.8,,0.602,,3930,,2.86,,3.01,,6.96,,141,,0.58,,6.59,,0.036,L,0.001,,4.51,,0.24,,0.033,,219,,0.062,,0.007,,,,0.003,,0.74,,4.85,,2.93,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
