2011PN200069,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-03-21 15:32,WATER,TRIPLICATE SAMPLE,,,,,,,,,,,
2011PN200070,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-03-21 15:42,WATER,TRIPLICATE SAMPLE,,,,,,,,,,,
2011PN200074,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-03-21 16:40,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200001,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-05-09 11:15,WATER,VERTICAL INTEGRATED,3,,19.7,,0.41,,,,,,
2012PN200002,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2012-05-09 13:36,WATER,VERTICAL INTEGRATED,4.9,,15.3,,0.25,,,,,,
2012PN200003,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2012-05-09 14:17,WATER,VERTICAL INTEGRATED,4.2,,12.8,,0.2,,,,,,
2012PN200004,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2012-05-09 14:00,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200005,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-05-10 11:27,WATER,VERTICAL INTEGRATED,3.9,,15.5,,0.25,,,,,,
2012PN200006,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2012-05-10 12:30,WATER,VERTICAL INTEGRATED,3.7,,12.3,,0.23,,,,,,
2012PN200007,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-05-10 13:00,WATER,VERTICAL INTEGRATED,5.1,,11.9,,0.2,,,,,,
2012PN200008,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-05-10 12:55,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200009,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2012-06-05 11:21,WATER,VERTICAL INTEGRATED,1.83,,,,,,,,,,
2012PN200010,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2012-06-05 11:47,WATER,VERTICAL INTEGRATED,0.37,,,,,,,,,,
2012PN200011,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2012-06-05 12:01,WATER,VERTICAL INTEGRATED,0.91,,,,,,,,,,
2012PN200012,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2012-06-05 12:14,WATER,VERTICAL INTEGRATED,1.01,,,,,,,,,,
2012PN200013,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-06-05 12:28,WATER,TRIPLICATE SAMPLE,2.09,,4.9,,0.09,,,,,,
2012PN200014,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 6 OF 10,AL07DD0004,57.12708333,-111.6020556,2012-06-05 13:55,WATER,VERTICAL INTEGRATED,2.68,,,,,,,,,,
2012PN200015,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2012-06-05 14:09,WATER,VERTICAL INTEGRATED,3.48,,,,,,,,,,
2012PN200016,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 8 OF 10,AL07DD0004,57.12733333,-111.6010556,2012-06-05 14:21,WATER,VERTICAL INTEGRATED,3.87,,,,,,,,,,
2012PN200017,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2012-06-05 14:36,WATER,VERTICAL INTEGRATED,3.96,,3.86,,0.08,,,,,,
2012PN200018,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2012-06-05 15:05,WATER,VERTICAL INTEGRATED,4.28,,3.65,,0.08,,,,,,
2012PN200019,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2012-06-05 15:10,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200020,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 1 OF 10,AL07DD0005,57.15605556,-111.63,2012-06-06 10:33,WATER,VERTICAL INTEGRATED,1.48,,,,,,,,,,
2012PN200021,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 2 OF 10,AL07DD0005,57.15633333,-111.6294167,2012-06-06 10:45,WATER,VERTICAL INTEGRATED,3.22,,,,,,,,,,
2012PN200022,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 3 OF 10,AL07DD0005,57.15655556,-111.6286944,2012-06-06 10:49,WATER,VERTICAL INTEGRATED,3.03,,,,,,,,,,
2012PN200023,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 4 OF 10,AL07DD0005,57.15669444,-111.62825,2012-06-06 11:07,WATER,VERTICAL INTEGRATED,2.86,,,,,,,,,,
2012PN200024,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-06-06 11:24,WATER,VERTICAL INTEGRATED,3.07,,4.41,,0.09,,,,,,
2012PN200025,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 6 OF 10,AL07DD0005,57.15683333,-111.6265278,2012-06-06 12:04,WATER,VERTICAL INTEGRATED,2.99,,,,,,,,,,
2012PN200026,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 7 OF 10,AL07DD0005,57.15686111,-111.6257222,2012-06-06 12:14,WATER,VERTICAL INTEGRATED,2.71,,,,,,,,,,
2012PN200027,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 8 OF 10,AL07DD0005,57.15705556,-111.6250278,2012-06-06 12:33,WATER,VERTICAL INTEGRATED,1.72,,,,,,,,,,
2012PN200028,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2012-06-06 12:41,WATER,VERTICAL INTEGRATED,2.79,,4.16,,0.06,,,,,,
2012PN200029,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-06-06 13:13,WATER,VERTICAL INTEGRATED,3.56,,3.64,,0.07,,,,,,
2012PN200030,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-06-06 13:20,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200038,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2012-06-26 11:26,WATER,VERTICAL INTEGRATED,4.09,,11.3,,0.15,,,,,,
2012PN200039,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 5 OF 10,AL07DD0009,57.21505,-111.6115,2012-06-26 12:21,WATER,VERTICAL INTEGRATED,2.24,,11.2,,0.16,,,,,,
2012PN200040,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 9 OF 10,AL07DD0009,57.21523,-111.60808,2012-06-26 13:23,WATER,VERTICAL INTEGRATED,4.27,,9.92,,0.16,,,,,,
2012PN200041,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 2 OF 10,AL07DD0009,57.2151,-111.61433,2012-06-26 11:56,WATER,VERTICAL INTEGRATED,3.22,,,,,,,,,,
2012PN200042,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 3 OF 10,AL07DD0009,57.21512,-111.61345,2012-06-26 12:04,WATER,VERTICAL INTEGRATED,2.99,,,,,,,,,,
2012PN200043,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 4 OF 10,AL07DD0009,57.21516,-111.61577,2012-06-26 12:12,WATER,VERTICAL INTEGRATED,3.18,,,,,,,,,,
2012PN200044,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 6 OF 10,AL07DD0009,57.21502,-111.61068,2012-06-26 12:52,WATER,VERTICAL INTEGRATED,2.44,,,,,,,,,,
2012PN200045,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 7 OF 10,AL07DD0009,57.2152,-111.6098,2012-06-26 13:00,WATER,VERTICAL INTEGRATED,2.19,,,,,,,,,,
2012PN200046,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 8 OF 10,AL07DD0009,57.2153,-111.60903,2012-06-26 13:11,WATER,VERTICAL INTEGRATED,2.96,,,,,,,,,,
2012PN200047,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 10 OF 10,AL07DD0009,57.21518,-111.60727,2012-06-26 13:43,WATER,VERTICAL INTEGRATED,2.95,,,,,,,,,,
2012PN200048,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2012-06-26 13:46,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200049,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2012-06-27 10:43,WATER,VERTICAL INTEGRATED,4.75,,10,,0.17,,,,,,
2012PN200050,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 6 OF 10,AL07DD0007,57.31373,-111.67093,2012-06-27 11:45,WATER,VERTICAL INTEGRATED,2.8,,10.4,,0.16,,,,,,
2012PN200051,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2012-06-27 12:39,WATER,VERTICAL INTEGRATED,2.56,,10.5,,0.19,,,,,,
2012PN200052,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 2 OF 10,AL07DD0007,57.31337,-111.67458,2012-06-27 11:01,WATER,VERTICAL INTEGRATED,3.3,,,,,,,,,,
2012PN200053,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 3 OF 10,AL07DD0007,57.31335,-111.6735,2012-06-27 11:11,WATER,VERTICAL INTEGRATED,2.55,,,,,,,,,,
2012PN200054,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2012-06-27 11:26,WATER,VERTICAL INTEGRATED,2.76,,,,,,,,,,
2012PN200055,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2012-06-27 11:36,WATER,VERTICAL INTEGRATED,2.77,,,,,,,,,,
2012PN200056,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 7 OF 10,AL07DD0007,57.3138,-111.66997,2012-06-27 12:14,WATER,VERTICAL INTEGRATED,2.74,,,,,,,,,,
2012PN200057,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 8 OF 10,AL07DD0007,57.31392,-111.66925,2012-06-27 12:24,WATER,VERTICAL INTEGRATED,2.55,,,,,,,,,,
2012PN200058,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 9 OF 10,AL07DD0007,57.3139,-111.66835,2012-06-27 12:32,WATER,VERTICAL INTEGRATED,2.24,,,,,,,,,,
2012PN200059,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2012-06-27 12:48,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200060,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-06-05 12:33,WATER,TRIPLICATE SAMPLE,,,4.78,,0.09,,,,,,
2012PN200061,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-06-05 12:38,WATER,TRIPLICATE SAMPLE,,,4.93,,0.09,,,,,,
2012PN200067,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-06-19 11:49,WATER,VERTICAL INTEGRATED,3,,16.2,,0.27,,,,,,
2012PN200068,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2012-06-19 12:50,WATER,VERTICAL INTEGRATED,6.69,,17.3,,0.21,,,,,,
2012PN200069,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2012-06-19 13:11,WATER,VERTICAL INTEGRATED,4.98,,16.2,,0.23,,,,,,
2012PN200070,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2012-06-19 13:15,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200071,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-06-20 10:48,WATER,VERTICAL INTEGRATED,4.27,,18.6,,0.24,,,,,,
2012PN200072,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2012-06-20 12:02,WATER,VERTICAL INTEGRATED,2.46,,19.1,,0.25,,,,,,
2012PN200073,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-06-20 12:27,WATER,VERTICAL INTEGRATED,6.55,,16.6,,0.21,,,,,,
2012PN200074,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-06-20 12:30,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200075,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2012-06-21 10:05,WATER,VERTICAL INTEGRATED,3.11,,17.3,,0.2,,,,,,
2012PN200076,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2012-06-21 11:08,WATER,TRIPLICATE SAMPLE,3.17,,16.2,,0.17,,,,,,
2012PN200077,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2012-06-21 12:36,WATER,VERTICAL INTEGRATED,3.19,,9.76,,0.11,,,,,,
2012PN200078,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2012-06-21 9:36,WATER,VERTICAL INTEGRATED,0.6,,,,,,,,,,
2012PN200079,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2012-06-21 9:56,WATER,VERTICAL INTEGRATED,2.79,,,,,,,,,,
2012PN200080,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2012-06-21 10:28,WATER,VERTICAL INTEGRATED,2.8,,,,,,,,,,
2012PN200081,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2012-06-21 10:39,WATER,VERTICAL INTEGRATED,2.7,,,,,,,,,,
2012PN200082,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 7 OF 10,AL07DD0008,56.83919,-111.41404,2012-06-21 11:50,WATER,VERTICAL INTEGRATED,3.5,,,,,,,,,,
2012PN200083,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 8 OF 10,AL07DD0008,56.83888,-111.41328,2012-06-21 12:01,WATER,VERTICAL INTEGRATED,3.28,,,,,,,,,,
2012PN200084,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2012-06-21 12:13,WATER,VERTICAL INTEGRATED,402,,,,,,,,,,
2012PN200085,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2012-06-21 12:15,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200086,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2012-06-21 11:13,WATER,TRIPLICATE SAMPLE,,,16.3,,0.18,,,,,,
2012PN200087,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2012-06-21 11:18,WATER,TRIPLICATE SAMPLE,,,15.5,,0.18,,,,,,
2012PN200093,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-07-10 12:42,WATER,TRIPLICATE SAMPLE,3.1,,16,,0.22,,,,,,
2012PN200094,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2012-07-10 14:05,WATER,VERTICAL INTEGRATED,5.4,,13.5,,0.16,,,,,,
2012PN200095,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2012-07-10 14:25,WATER,VERTICAL INTEGRATED,5.7,,11.7,,0.16,,,,,,
2012PN200096,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2012-07-10 14:30,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200097,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-07-11 10:45,WATER,VERTICAL INTEGRATED,4.3,,14.9,,0.21,,,,,,
2012PN200098,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2012-07-11 12:12,WATER,VERTICAL INTEGRATED,2.5,,13.9,,0.16,,,,,,
2012PN200099,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-07-11 12:36,WATER,VERTICAL INTEGRATED,5.1,,12.5,,0.15,,,,,,
2012PN200100,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-07-11 12:40,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200111,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-07-24 12:17,WATER,VERTICAL INTEGRATED,2.82,,13.7,,0.15,,,,,,
2012PN200112,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2012-07-24 13:29,WATER,VERTICAL INTEGRATED,7.26,,11.3,,0.14,,,,,,
2012PN200113,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2012-07-24 13:50,WATER,VERTICAL INTEGRATED,5.03,,10.3,,0.13,,,,,,
2012PN200114,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2012-07-24 14:00,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200115,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-07-25 10:25,WATER,VERTICAL INTEGRATED,4.29,,11.8,,0.16,,,,,,
2012PN200116,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2012-07-25 11:09,WATER,VERTICAL INTEGRATED,2.43,,9.87,,0.15,,,,,,
2012PN200117,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-07-25 11:24,WATER,VERTICAL INTEGRATED,6.09,,9.33,,0.16,,,,,,
2012PN200118,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-07-25 11:30,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200119,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2012-08-06 10:11,WATER,VERTICAL INTEGRATED,4.39,,16.2,,0.27,,,,,,
2012PN200120,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 2 OF 10,AL07DD0009,57.2151,-111.61433,2012-08-06 10:37,WATER,VERTICAL INTEGRATED,3.71,,,,,,,,,,
2012PN200121,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 3 OF 10,AL07DD0009,57.21512,-111.61345,2012-08-06 10:48,WATER,VERTICAL INTEGRATED,3.62,,,,,,,,,,
2012PN200122,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 4 OF 10,AL07DD0009,57.21516,-111.61577,2012-08-06 11:03,WATER,VERTICAL INTEGRATED,3.11,,,,,,,,,,
