2011PN200002,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2011-10-27 12:10,WATER,VERTICAL INTEGRATED,1.01,,0,,7.429,,0.394,,0.071,,,,,,,,0.006,,6.74,,0.689,,0.011,,0.092,,0.302,,,,0.091,,0.02,,5.2,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200003,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2011-10-27 12:48,WATER,VERTICAL INTEGRATED,1.58,,0,,7.453,,0.428,,0.029,,,,,,,,0.006,,6.71,,0.743,,0.012,,0.092,,0.336,,,,0.034,,0.005,,6.2,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200004,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2011-10-27 13:02,WATER,VERTICAL INTEGRATED,2.1,,0,,7.471,,0.411,,0.029,,,,,,,,0.006,,6.69,,0.781,,0.01,,0.109,,0.302,,,,0.034,,0.005,,6.6,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200005,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2011-10-27 13:25,WATER,VERTICAL INTEGRATED,2.44,,0,,7.345,,0.397,,0.026,,,,,,,,0.005,,6.55,,0.795,L,0.01,,0.102,,0.295,,,,0.031,,0.005,,6.2,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200006,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 6 OF 10,AL07DD0004,57.12708333,-111.6020556,2011-10-27 14:17,WATER,VERTICAL INTEGRATED,2.5,,0,,7.556,,0.429,,0.022,,,,,,,L,0.005,,6.73,,0.826,L,0.01,,0.109,,0.32,,,,0.033,,0.011,,7,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200007,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2011-10-27 14:42,WATER,TRIPLICATE SAMPLE,2.65,,0,,7.445,,0.4,,0.028,,,,,,,,0.006,,6.58,,0.865,L,0.01,,0.107,,0.293,,,,0.033,,0.005,,7.8,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200008,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 8 OF 10,AL07DD0004,57.12733333,-111.6010556,2011-10-27 15:19,WATER,VERTICAL INTEGRATED,2.77,,0,,7.678,,0.363,,0.03,,,,,,,,0.012,,6.75,,0.928,L,0.01,,0.089,,0.274,,,,0.036,,0.006,,12,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200009,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2011-10-27 15:34,WATER,VERTICAL INTEGRATED,3.05,,0,,7.607,,0.372,,0.032,,,,,,,,0.007,,6.74,,0.867,L,0.01,,0.092,,0.28,,,,0.036,,0.004,,10.8,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200010,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2011-10-27 16:14,WATER,VERTICAL INTEGRATED,2.16,,0,,7.809,,0.384,,0.034,,,,,,,,0.007,,6.84,,0.969,L,0.01,,0.092,,0.292,,,,0.039,,0.005,,13.2,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200011,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2011-10-27 14:52,WATER,TRIPLICATE SAMPLE,,,0,,7.737,,0.401,,0.028,,,,,,,L,0.005,,6.79,,0.947,L,0.01,,0.1,,0.301,,,,0.033,,0.005,,8,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200012,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2011-10-27 15:02,WATER,TRIPLICATE SAMPLE,,,0,,7.614,,0.428,,0.027,,,,,,,L,0.005,,6.76,,0.854,L,0.01,,0.096,,0.332,,,,0.033,,0.006,,9,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200013,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2011-10-27 17:00,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,PM,,7.839,,0.399,,0.028,,,,,,,,0.009,,6.9,,0.939,L,0.01,,0.109,,0.29,,,,0.034,,0.006,,7.4,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200015,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 1 OF 10,AL07DD0005,57.15605556,-111.63,2011-10-29 10:14,WATER,VERTICAL INTEGRATED,0.7,,0,,7.521,,0.39,,0.031,,,,,,,,0.006,,6.61,,0.911,,0.013,,0.103,,0.287,,,,0.036,,0.005,,21,,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200016,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 2 OF 10,AL07DD0005,57.15633333,-111.6294167,2011-10-29 11:32,WATER,VERTICAL INTEGRATED,1.25,,0,,7.43,,0.429,,0.032,,,,,,,,0.006,,6.63,,0.8,,0.012,,0.1,,0.329,,,,0.037,,0.005,,25.8,,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200017,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 3 OF 10,AL07DD0005,57.15655556,-111.6286944,2011-10-29 11:45,WATER,VERTICAL INTEGRATED,1.28,,0,,7.365,,0.365,,0.033,,,,,,,,0.01,,6.61,,0.755,,0.01,,0.093,,0.272,,,,0.038,,0.005,,39.4,,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200018,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 4 OF 10,AL07DD0005,57.15669444,-111.62825,2011-10-29 12:04,WATER,VERTICAL INTEGRATED,1.31,,0,,7.391,,0.372,,0.033,,,,,,,L,0.005,,6.71,,0.681,L,0.01,,0.072,,0.3,,,,0.039,,0.006,,41.8,,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200019,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2011-10-29 12:24,WATER,VERTICAL INTEGRATED,1.71,,0,,7.507,,0.36,,0.027,,,,,,,,0.005,,6.81,,0.697,L,0.01,,0.088,,0.272,,,,0.034,,0.007,,16.4,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200020,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 6 OF 10,AL07DD0005,57.15683333,-111.6265278,2011-10-29 13:36,WATER,VERTICAL INTEGRATED,1.92,,0,,7.594,,0.348,,0.032,,,,,,,L,0.005,,6.81,,0.784,L,0.01,,0.083,,0.265,,,,0.036,,0.004,,44.4,,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200021,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 7 OF 10,AL07DD0005,57.15686111,-111.6257222,2011-10-29 14:07,WATER,TRIPLICATE SAMPLE,2.07,,0,,7.522,,0.347,,0.029,,,,,,,,0.006,,6.84,,0.682,L,0.01,,0.074,,0.273,,,,0.037,,0.008,,24.8,,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200022,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 8 OF 10,AL07DD0005,57.15705556,-111.6250278,2011-10-29 14:19,WATER,VERTICAL INTEGRATED,2.04,,0,,8.559,,0.436,,0.027,,,,,,,,0.006,,7.94,,0.619,L,0.01,,0.08,,0.356,,,,0.033,,0.006,,10.6,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200023,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2011-10-29 14:37,WATER,VERTICAL INTEGRATED,2.23,,0,,7.659,,0.399,,0.029,,,,,,,,0.007,,6.89,,0.769,L,0.01,,0.091,,0.308,,,,0.033,,0.004,,6,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200024,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2011-10-29 15:12,WATER,VERTICAL INTEGRATED,3.51,,0,,7.705,,0.44,,0.029,,,,,,,,0.005,,7,,0.705,L,0.01,,0.082,,0.358,,,,0.033,,0.004,,6.6,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200025,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 7 OF 10,AL07DD0005,57.15686111,-111.6257222,2011-10-29 14:12,WATER,TRIPLICATE SAMPLE,,,0,,7.65,,0.358,,0.03,,,,,,,L,0.005,,6.85,,0.8,L,0.01,,0.077,,0.281,,,,0.035,,0.005,,10.6,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200026,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 7 OF 10,AL07DD0005,57.15686111,-111.6257222,2011-10-29 14:17,WATER,TRIPLICATE SAMPLE,,,0,,7.743,,0.362,,0.031,,,,,,,L,0.005,,6.88,,0.863,L,0.01,,0.074,,0.288,,,,0.036,,0.005,,16.6,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200027,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2011-10-29 16:28,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,PM,,7.9,,0.367,,0.032,,,,,,,,0.006,,6.9,,1,L,0.01,,0.078,,0.289,,,,0.036,,0.004,,17.8,,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200031,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2012-02-14 15:04,WATER,VERTICAL INTEGRATED,1.735,,0,,8.073,,0.658,,0.036,,,,,,,,0.074,,7.83,,0.243,,0.223,,0.024,,0.634,,,,0.053,,0.017,,1.4,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200032,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2012-02-14 16:44,WATER,VERTICAL INTEGRATED,2.19,,0,,7.872,,0.577,,0.016,,,,,,,,0.072,,7.65,,0.222,,0.205,,0.023,,0.554,,,,0.034,,0.018,,2,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200033,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2012-02-14 17:29,WATER,VERTICAL INTEGRATED,1.9,,0,,7.842,,0.598,,0.019,,,,,,,,0.076,,7.63,,0.212,,0.204,,0.03,,0.568,,,,0.035,,0.016,,1.4,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200034,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2012-02-14 17:35,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,PM,,8.45,,0.641,,0.015,,,,,,,,0.078,,8.11,,0.34,,0.22,,0.035,,0.606,,,,0.034,,0.019,,1.6,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200035,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-02-15 19:50,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,PM,,8.552,,0.664,,0.018,,,,,,,,0.073,,8.02,,0.532,,0.222,,0.049,,0.615,,,,0.034,,0.016,,2.4,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200036,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-02-15 14:26,WATER,TRIPLICATE SAMPLE,,,0.002,,8.028,,0.613,,0.019,,,,,,,,0.07,,7.83,,0.198,,0.214,,0.023,,0.59,,,,0.034,,0.015,,3,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200037,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-02-15 14:36,WATER,TRIPLICATE SAMPLE,,,0.003,,7.909,,0.595,,0.02,,,,,,,,0.071,,7.7,,0.209,,0.214,,0.028,,0.567,,,,0.034,,0.014,,2.6,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200040,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-02-15 14:16,WATER,TRIPLICATE SAMPLE,1.23,,0,,8.058,,0.597,,0.016,,,,,,,,0.071,,7.82,,0.238,,0.217,,0.025,,0.572,,,,0.034,,0.018,,2.2,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200041,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2012-02-15 16:07,WATER,VERTICAL INTEGRATED,0.53,,0,,7.952,,0.656,,0.019,,,,,,,,0.083,,7.67,,0.282,,0.209,,0.032,,0.624,,,,0.034,,0.015,,1.6,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200042,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-02-15 17:00,WATER,VERTICAL INTEGRATED,4.325,,0,,8.038,,0.605,,0.011,,,,,,,,0.072,,7.84,,0.198,,0.209,,0.028,,0.577,,,,0.034,,0.023,,1.4,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200046,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2012-03-20 10:14,WATER,VERTICAL INTEGRATED,0.275,,0,,7.587,,0.7,,0.016,,,,,,,,0.052,,7.4,,0.187,,0.242,,0.058,,0.642,,,,0.038,,0.022,,1.2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200047,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2012-03-20 10:33,WATER,VERTICAL INTEGRATED,0.905,,0,,7.729,,0.64,,0.015,,,,,,,,0.046,,7.54,,0.189,,0.241,,0.048,,0.592,,,,0.038,,0.023,,1.2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200048,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2012-03-20 10:49,WATER,VERTICAL INTEGRATED,1.185,,0.002,,7.836,,0.66,,0.014,,,,,,,,0.045,,7.6,,0.236,,0.237,,0.051,,0.609,,,,0.038,,0.024,,1.4,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011PN200049,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2012-03-20 11:10,WATER,VERTICAL INTEGRATED,1.285,,0.002,,7.444,,0.659,,0.015,,,,,,,,0.041,,7.25,,0.194,,0.231,,0.046,,0.613,,,,0.038,,0.023,,1.2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
